Dataset,Feature_Noise,Label_Noise,Model,C,k,Train Acc,Test Acc
breast_cancer,Clean,0%,NaiveSVM,0.1,,0.9846153846153847,0.9824561403508771
breast_cancer,Clean,0%,ProbSVM,0.1,,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,NaiveSVM,1.0,,0.9912087912087912,0.9736842105263158
breast_cancer,Clean,0%,ProbSVM,1.0,,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,NaiveSVM,10.0,,0.9912087912087912,0.9824561403508771
breast_cancer,Clean,0%,ProbSVM,10.0,,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,NaiveSVM,100.0,,0.9956043956043956,0.9736842105263158
breast_cancer,Clean,0%,ProbSVM,100.0,,0.6285714285714286,0.6403508771929824
breast_cancer,Clean,0%,NaiveSVM,1000.0,,1.0,0.9385964912280702
breast_cancer,Clean,0%,ProbSVM,1000.0,,0.8725274725274725,0.9035087719298246
breast_cancer,Clean,0%,NaiveSVM,10000.0,,0.978021978021978,0.9385964912280702
breast_cancer,Clean,0%,ProbSVM,10000.0,,0.9516483516483516,0.956140350877193
breast_cancer,Clean,0%,KNNSVM,0.1,3.0,0.9846153846153847,0.9824561403508771
breast_cancer,Clean,0%,SKiP-multiply,0.1,3.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-multiply-minmax,0.1,3.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-average,0.1,3.0,0.9736263736263736,0.9736842105263158
breast_cancer,Clean,0%,SKiP-average-minmax,0.1,3.0,0.9736263736263736,0.9736842105263158
breast_cancer,Clean,0%,KNNSVM,0.1,5.0,0.9824175824175824,0.9824561403508771
breast_cancer,Clean,0%,SKiP-multiply,0.1,5.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-multiply-minmax,0.1,5.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-average,0.1,5.0,0.9736263736263736,0.9736842105263158
breast_cancer,Clean,0%,SKiP-average-minmax,0.1,5.0,0.9736263736263736,0.9736842105263158
breast_cancer,Clean,0%,KNNSVM,0.1,7.0,0.9824175824175824,0.9824561403508771
breast_cancer,Clean,0%,SKiP-multiply,0.1,7.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-multiply-minmax,0.1,7.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-average,0.1,7.0,0.9758241758241758,0.9736842105263158
breast_cancer,Clean,0%,SKiP-average-minmax,0.1,7.0,0.9758241758241758,0.9736842105263158
breast_cancer,Clean,0%,KNNSVM,1.0,3.0,0.9846153846153847,0.9824561403508771
breast_cancer,Clean,0%,SKiP-multiply,1.0,3.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-multiply-minmax,1.0,3.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-average,1.0,3.0,0.9846153846153847,0.9824561403508771
breast_cancer,Clean,0%,SKiP-average-minmax,1.0,3.0,0.9846153846153847,0.9824561403508771
breast_cancer,Clean,0%,KNNSVM,1.0,5.0,0.9846153846153847,0.9824561403508771
breast_cancer,Clean,0%,SKiP-multiply,1.0,5.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-multiply-minmax,1.0,5.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-average,1.0,5.0,0.9824175824175824,0.9824561403508771
breast_cancer,Clean,0%,SKiP-average-minmax,1.0,5.0,0.9824175824175824,0.9824561403508771
breast_cancer,Clean,0%,KNNSVM,1.0,7.0,0.9846153846153847,0.9824561403508771
breast_cancer,Clean,0%,SKiP-multiply,1.0,7.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-multiply-minmax,1.0,7.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-average,1.0,7.0,0.9824175824175824,0.9824561403508771
breast_cancer,Clean,0%,SKiP-average-minmax,1.0,7.0,0.9824175824175824,0.9824561403508771
breast_cancer,Clean,0%,KNNSVM,10.0,3.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,10.0,3.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-multiply-minmax,10.0,3.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-average,10.0,3.0,0.9912087912087912,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,10.0,3.0,0.9912087912087912,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,10.0,5.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,10.0,5.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-multiply-minmax,10.0,5.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-average,10.0,5.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,10.0,5.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,10.0,7.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,10.0,7.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-multiply-minmax,10.0,7.0,0.6263736263736264,0.631578947368421
breast_cancer,Clean,0%,SKiP-average,10.0,7.0,0.9912087912087912,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,10.0,7.0,0.9912087912087912,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,100.0,3.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,100.0,3.0,0.6285714285714286,0.6403508771929824
breast_cancer,Clean,0%,SKiP-multiply-minmax,100.0,3.0,0.6285714285714286,0.6403508771929824
breast_cancer,Clean,0%,SKiP-average,100.0,3.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,100.0,3.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,100.0,5.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,100.0,5.0,0.6285714285714286,0.6403508771929824
breast_cancer,Clean,0%,SKiP-multiply-minmax,100.0,5.0,0.6285714285714286,0.6403508771929824
breast_cancer,Clean,0%,SKiP-average,100.0,5.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,100.0,5.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,100.0,7.0,0.9934065934065934,0.956140350877193
breast_cancer,Clean,0%,SKiP-multiply,100.0,7.0,0.6285714285714286,0.6403508771929824
breast_cancer,Clean,0%,SKiP-multiply-minmax,100.0,7.0,0.6285714285714286,0.6403508771929824
breast_cancer,Clean,0%,SKiP-average,100.0,7.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,100.0,7.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,1000.0,3.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,1000.0,3.0,0.8747252747252747,0.9210526315789473
breast_cancer,Clean,0%,SKiP-multiply-minmax,1000.0,3.0,0.8769230769230769,0.9210526315789473
breast_cancer,Clean,0%,SKiP-average,1000.0,3.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,1000.0,3.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,1000.0,5.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,1000.0,5.0,0.8725274725274725,0.9035087719298246
breast_cancer,Clean,0%,SKiP-multiply-minmax,1000.0,5.0,0.8747252747252747,0.9035087719298246
breast_cancer,Clean,0%,SKiP-average,1000.0,5.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,1000.0,5.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,1000.0,7.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,1000.0,7.0,0.8725274725274725,0.9035087719298246
breast_cancer,Clean,0%,SKiP-multiply-minmax,1000.0,7.0,0.8725274725274725,0.9122807017543859
breast_cancer,Clean,0%,SKiP-average,1000.0,7.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,1000.0,7.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,10000.0,3.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,10000.0,3.0,0.9560439560439561,0.9473684210526315
breast_cancer,Clean,0%,SKiP-multiply-minmax,10000.0,3.0,0.9560439560439561,0.9473684210526315
breast_cancer,Clean,0%,SKiP-average,10000.0,3.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,10000.0,3.0,0.9934065934065934,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,10000.0,5.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,10000.0,5.0,0.9560439560439561,0.9473684210526315
breast_cancer,Clean,0%,SKiP-multiply-minmax,10000.0,5.0,0.9560439560439561,0.9473684210526315
breast_cancer,Clean,0%,SKiP-average,10000.0,5.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,10000.0,5.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,KNNSVM,10000.0,7.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,SKiP-multiply,10000.0,7.0,0.9560439560439561,0.9473684210526315
breast_cancer,Clean,0%,SKiP-multiply-minmax,10000.0,7.0,0.9560439560439561,0.9473684210526315
breast_cancer,Clean,0%,SKiP-average,10000.0,7.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,0%,SKiP-average-minmax,10000.0,7.0,0.9956043956043956,0.9649122807017544
breast_cancer,Clean,5%,NaiveSVM,0.1,,0.9362637362637363,0.9035087719298246
breast_cancer,Clean,5%,ProbSVM,0.1,,0.6,0.5964912280701754
breast_cancer,Clean,5%,NaiveSVM,1.0,,0.9406593406593406,0.8771929824561403
breast_cancer,Clean,5%,ProbSVM,1.0,,0.6,0.5964912280701754
breast_cancer,Clean,5%,NaiveSVM,10.0,,0.9428571428571428,0.8596491228070176
breast_cancer,Clean,5%,ProbSVM,10.0,,0.6,0.5964912280701754
breast_cancer,Clean,5%,NaiveSVM,100.0,,0.9384615384615385,0.8596491228070176
breast_cancer,Clean,5%,ProbSVM,100.0,,0.6065934065934065,0.5964912280701754
breast_cancer,Clean,5%,NaiveSVM,1000.0,,0.9384615384615385,0.8596491228070176
breast_cancer,Clean,5%,ProbSVM,1000.0,,0.8373626373626374,0.8157894736842105
breast_cancer,Clean,5%,NaiveSVM,10000.0,,0.865934065934066,0.8508771929824561
breast_cancer,Clean,5%,ProbSVM,10000.0,,0.9010989010989011,0.8859649122807017
breast_cancer,Clean,5%,KNNSVM,0.1,3.0,0.9384615384615385,0.9210526315789473
breast_cancer,Clean,5%,SKiP-multiply,0.1,3.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,0.1,3.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,0.1,3.0,0.9384615384615385,0.9210526315789473
breast_cancer,Clean,5%,SKiP-average-minmax,0.1,3.0,0.9384615384615385,0.9210526315789473
breast_cancer,Clean,5%,KNNSVM,0.1,5.0,0.9384615384615385,0.9035087719298246
breast_cancer,Clean,5%,SKiP-multiply,0.1,5.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,0.1,5.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,0.1,5.0,0.9362637362637363,0.8947368421052632
breast_cancer,Clean,5%,SKiP-average-minmax,0.1,5.0,0.9362637362637363,0.8947368421052632
breast_cancer,Clean,5%,KNNSVM,0.1,7.0,0.9384615384615385,0.9035087719298246
breast_cancer,Clean,5%,SKiP-multiply,0.1,7.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,0.1,7.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,0.1,7.0,0.9362637362637363,0.9035087719298246
breast_cancer,Clean,5%,SKiP-average-minmax,0.1,7.0,0.9362637362637363,0.9035087719298246
breast_cancer,Clean,5%,KNNSVM,1.0,3.0,0.9384615384615385,0.9122807017543859
breast_cancer,Clean,5%,SKiP-multiply,1.0,3.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,1.0,3.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,1.0,3.0,0.9384615384615385,0.9122807017543859
breast_cancer,Clean,5%,SKiP-average-minmax,1.0,3.0,0.9384615384615385,0.9122807017543859
breast_cancer,Clean,5%,KNNSVM,1.0,5.0,0.9384615384615385,0.9122807017543859
breast_cancer,Clean,5%,SKiP-multiply,1.0,5.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,1.0,5.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,1.0,5.0,0.9384615384615385,0.9122807017543859
breast_cancer,Clean,5%,SKiP-average-minmax,1.0,5.0,0.9384615384615385,0.9122807017543859
breast_cancer,Clean,5%,KNNSVM,1.0,7.0,0.9384615384615385,0.9122807017543859
breast_cancer,Clean,5%,SKiP-multiply,1.0,7.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,1.0,7.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,1.0,7.0,0.9384615384615385,0.9122807017543859
breast_cancer,Clean,5%,SKiP-average-minmax,1.0,7.0,0.9384615384615385,0.9122807017543859
breast_cancer,Clean,5%,KNNSVM,10.0,3.0,0.9428571428571428,0.8859649122807017
breast_cancer,Clean,5%,SKiP-multiply,10.0,3.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,10.0,3.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,10.0,3.0,0.9230769230769231,0.8947368421052632
breast_cancer,Clean,5%,SKiP-average-minmax,10.0,3.0,0.9230769230769231,0.8947368421052632
breast_cancer,Clean,5%,KNNSVM,10.0,5.0,0.945054945054945,0.8947368421052632
breast_cancer,Clean,5%,SKiP-multiply,10.0,5.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,10.0,5.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,10.0,5.0,0.9472527472527472,0.8947368421052632
breast_cancer,Clean,5%,SKiP-average-minmax,10.0,5.0,0.9472527472527472,0.8947368421052632
breast_cancer,Clean,5%,KNNSVM,10.0,7.0,0.9472527472527472,0.8947368421052632
breast_cancer,Clean,5%,SKiP-multiply,10.0,7.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,10.0,7.0,0.6,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,10.0,7.0,0.9428571428571428,0.8947368421052632
breast_cancer,Clean,5%,SKiP-average-minmax,10.0,7.0,0.9428571428571428,0.8947368421052632
breast_cancer,Clean,5%,KNNSVM,100.0,3.0,0.9494505494505494,0.8947368421052632
breast_cancer,Clean,5%,SKiP-multiply,100.0,3.0,0.6087912087912087,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,100.0,3.0,0.6043956043956044,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,100.0,3.0,0.9428571428571428,0.9035087719298246
breast_cancer,Clean,5%,SKiP-average-minmax,100.0,3.0,0.9428571428571428,0.9035087719298246
breast_cancer,Clean,5%,KNNSVM,100.0,5.0,0.9516483516483516,0.868421052631579
breast_cancer,Clean,5%,SKiP-multiply,100.0,5.0,0.6087912087912087,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,100.0,5.0,0.6043956043956044,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,100.0,5.0,0.9516483516483516,0.8947368421052632
breast_cancer,Clean,5%,SKiP-average-minmax,100.0,5.0,0.9516483516483516,0.8947368421052632
breast_cancer,Clean,5%,KNNSVM,100.0,7.0,0.9516483516483516,0.8771929824561403
breast_cancer,Clean,5%,SKiP-multiply,100.0,7.0,0.6087912087912087,0.5964912280701754
breast_cancer,Clean,5%,SKiP-multiply-minmax,100.0,7.0,0.6043956043956044,0.5964912280701754
breast_cancer,Clean,5%,SKiP-average,100.0,7.0,0.9472527472527472,0.8947368421052632
breast_cancer,Clean,5%,SKiP-average-minmax,100.0,7.0,0.9472527472527472,0.8947368421052632
breast_cancer,Clean,5%,KNNSVM,1000.0,3.0,0.8989010989010989,0.8771929824561403
breast_cancer,Clean,5%,SKiP-multiply,1000.0,3.0,0.8461538461538461,0.8245614035087719
breast_cancer,Clean,5%,SKiP-multiply-minmax,1000.0,3.0,0.8395604395604396,0.8157894736842105
breast_cancer,Clean,5%,SKiP-average,1000.0,3.0,0.9472527472527472,0.8947368421052632
breast_cancer,Clean,5%,SKiP-average-minmax,1000.0,3.0,0.9472527472527472,0.8947368421052632
breast_cancer,Clean,5%,KNNSVM,1000.0,5.0,0.9516483516483516,0.868421052631579
breast_cancer,Clean,5%,SKiP-multiply,1000.0,5.0,0.8417582417582418,0.8157894736842105
breast_cancer,Clean,5%,SKiP-multiply-minmax,1000.0,5.0,0.8351648351648352,0.8157894736842105
breast_cancer,Clean,5%,SKiP-average,1000.0,5.0,0.9516483516483516,0.868421052631579
breast_cancer,Clean,5%,SKiP-average-minmax,1000.0,5.0,0.9516483516483516,0.868421052631579
breast_cancer,Clean,5%,KNNSVM,1000.0,7.0,0.832967032967033,0.8070175438596491
breast_cancer,Clean,5%,SKiP-multiply,1000.0,7.0,0.8417582417582418,0.8245614035087719
breast_cancer,Clean,5%,SKiP-multiply-minmax,1000.0,7.0,0.8373626373626374,0.8157894736842105
breast_cancer,Clean,5%,SKiP-average,1000.0,7.0,0.9516483516483516,0.868421052631579
breast_cancer,Clean,5%,SKiP-average-minmax,1000.0,7.0,0.9516483516483516,0.868421052631579
breast_cancer,Clean,5%,KNNSVM,10000.0,3.0,0.9516483516483516,0.868421052631579
breast_cancer,Clean,5%,SKiP-multiply,10000.0,3.0,0.8989010989010989,0.8859649122807017
breast_cancer,Clean,5%,SKiP-multiply-minmax,10000.0,3.0,0.8989010989010989,0.8859649122807017
breast_cancer,Clean,5%,SKiP-average,10000.0,3.0,0.9494505494505494,0.868421052631579
breast_cancer,Clean,5%,SKiP-average-minmax,10000.0,3.0,0.9494505494505494,0.868421052631579
breast_cancer,Clean,5%,KNNSVM,10000.0,5.0,0.8835164835164835,0.7982456140350878
breast_cancer,Clean,5%,SKiP-multiply,10000.0,5.0,0.8989010989010989,0.8859649122807017
breast_cancer,Clean,5%,SKiP-multiply-minmax,10000.0,5.0,0.8989010989010989,0.8859649122807017
breast_cancer,Clean,5%,SKiP-average,10000.0,5.0,0.9516483516483516,0.8596491228070176
breast_cancer,Clean,5%,SKiP-average-minmax,10000.0,5.0,0.9516483516483516,0.8596491228070176
breast_cancer,Clean,5%,KNNSVM,10000.0,7.0,0.865934065934066,0.8508771929824561
breast_cancer,Clean,5%,SKiP-multiply,10000.0,7.0,0.8989010989010989,0.8859649122807017
breast_cancer,Clean,5%,SKiP-multiply-minmax,10000.0,7.0,0.8989010989010989,0.8859649122807017
breast_cancer,Clean,5%,SKiP-average,10000.0,7.0,0.9516483516483516,0.8596491228070176
breast_cancer,Clean,5%,SKiP-average-minmax,10000.0,7.0,0.9516483516483516,0.8596491228070176
breast_cancer,Clean,10%,NaiveSVM,0.1,,0.8879120879120879,0.8947368421052632
breast_cancer,Clean,10%,ProbSVM,0.1,,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,NaiveSVM,1.0,,0.8857142857142857,0.8859649122807017
breast_cancer,Clean,10%,ProbSVM,1.0,,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,NaiveSVM,10.0,,0.8879120879120879,0.868421052631579
breast_cancer,Clean,10%,ProbSVM,10.0,,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,NaiveSVM,100.0,,0.8857142857142857,0.8508771929824561
breast_cancer,Clean,10%,ProbSVM,100.0,,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,NaiveSVM,1000.0,,0.832967032967033,0.8421052631578947
breast_cancer,Clean,10%,ProbSVM,1000.0,,0.7472527472527473,0.7982456140350878
breast_cancer,Clean,10%,NaiveSVM,10000.0,,0.7934065934065934,0.7894736842105263
breast_cancer,Clean,10%,ProbSVM,10000.0,,0.8395604395604396,0.8771929824561403
breast_cancer,Clean,10%,KNNSVM,0.1,3.0,0.8835164835164835,0.8947368421052632
breast_cancer,Clean,10%,SKiP-multiply,0.1,3.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,0.1,3.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-average,0.1,3.0,0.8835164835164835,0.8947368421052632
breast_cancer,Clean,10%,SKiP-average-minmax,0.1,3.0,0.8835164835164835,0.8947368421052632
breast_cancer,Clean,10%,KNNSVM,0.1,5.0,0.8835164835164835,0.8947368421052632
breast_cancer,Clean,10%,SKiP-multiply,0.1,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,0.1,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-average,0.1,5.0,0.8813186813186813,0.8947368421052632
breast_cancer,Clean,10%,SKiP-average-minmax,0.1,5.0,0.8813186813186813,0.8947368421052632
breast_cancer,Clean,10%,KNNSVM,0.1,7.0,0.8835164835164835,0.8947368421052632
breast_cancer,Clean,10%,SKiP-multiply,0.1,7.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,0.1,7.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-average,0.1,7.0,0.8835164835164835,0.8947368421052632
breast_cancer,Clean,10%,SKiP-average-minmax,0.1,7.0,0.8835164835164835,0.8947368421052632
breast_cancer,Clean,10%,KNNSVM,1.0,3.0,0.8923076923076924,0.8947368421052632
breast_cancer,Clean,10%,SKiP-multiply,1.0,3.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,1.0,3.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-average,1.0,3.0,0.8857142857142857,0.8947368421052632
breast_cancer,Clean,10%,SKiP-average-minmax,1.0,3.0,0.8857142857142857,0.8947368421052632
breast_cancer,Clean,10%,KNNSVM,1.0,5.0,0.8945054945054945,0.8859649122807017
breast_cancer,Clean,10%,SKiP-multiply,1.0,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,1.0,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-average,1.0,5.0,0.8879120879120879,0.9035087719298246
breast_cancer,Clean,10%,SKiP-average-minmax,1.0,5.0,0.8879120879120879,0.9035087719298246
breast_cancer,Clean,10%,KNNSVM,1.0,7.0,0.8923076923076924,0.8947368421052632
breast_cancer,Clean,10%,SKiP-multiply,1.0,7.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,1.0,7.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-average,1.0,7.0,0.8901098901098901,0.9035087719298246
breast_cancer,Clean,10%,SKiP-average-minmax,1.0,7.0,0.8901098901098901,0.9035087719298246
breast_cancer,Clean,10%,KNNSVM,10.0,3.0,0.8967032967032967,0.868421052631579
breast_cancer,Clean,10%,SKiP-multiply,10.0,3.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,10.0,3.0,0.589010989010989,0.5877192982456141
